seq,sym,sym_name,bid_q9,ask_q9,new_mid_q9,prev_mid_q9,delta_mid,delta_index,index_value,velocity,deviation,mean_window,window_filled,severity,alert
988,9,MSFT,166528,166625,166576,166607,-31,-9,131270,-9,-24,131294,1,0,0
989,5,NVDA,246077,246436,246256,246221,35,4,131274,4,-19,131293,1,0,0
990,2,TSLA,123259,123310,123284,123172,112,9,131283,9,-10,131293,1,0,0
991,2,TSLA,123136,123203,123169,123284,-115,-10,131273,-10,-18,131291,1,0,0
992,2,TSLA,123259,123310,123284,123169,115,9,131282,9,-7,131289,1,0,0
993,5,NVDA,246006,246436,246221,246256,-35,-5,131277,-5,-11,131288,1,0,0
994,5,NVDA,246333,246436,246384,246221,163,19,131296,19,9,131287,1,0,0
995,5,NVDA,246006,246436,246221,246384,-163,-20,131276,-20,-8,131284,1,0,0
996,5,NVDA,246093,246436,246264,246221,43,5,131281,5,-2,131283,1,0,0
997,5,NVDA,246333,246436,246384,246264,120,14,131295,14,11,131284,1,0,0
998,2,TSLA,123136,123187,123161,123284,-123,-11,131284,-11,1,131283,1,0,0
999,2,TSLA,123259,123310,123284,123161,123,10,131294,10,11,131283,1,0,0
